asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,calibration_method,calibration_row_count,evaluation_row_count,scored_row_count,positive_event_count,negative_event_count,event_base_rate,brier_score,brier_identity_uncalibrated,brier_calibrated,brier_retention,log_loss,expected_calibration_error,max_calibration_error,reliability_slope,reliability_intercept,roc_auc,average_precision,auc_retention_vs_identity,ap_retention_vs_identity,validation_market_event_block_count,monotonic_bin_status,calibration_fit_status,skip_reason,fold_count
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,platt_logistic_calibration,156237,47206,47206,85,47121,0.001800618565436597,0.0017947359858996156,0.027796969805341326,0.0017947359858996156,0.026002233819441712,0.012116001910317758,0.0008079851384440945,0.0008079851384440945,875.5765222582048,-0.3019965367957933,0.8127562231918454,0.05596850882922922,1.2316642593484193,1.263738508736018,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,isotonic_calibration,156237,47206,47206,85,47121,0.001800618565436597,0.0017980133881656906,0.027796969805341326,0.0017980133881656906,0.025998956417175634,0.023131237608427713,0.0008365032097670504,0.0008365032097670504,25.526627742446582,0.00013471292464780805,0.6086237629767126,0.02857506489847925,0.9172096988224124,0.5232210671207246,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,156113,157318,157318,25128,132190,0.15972743106319684,0.2049108501364545,0.2049108501364545,0.2049108501364545,0.0,0.5997047572080444,0.26598017034885446,0.5047649645405164,0.4902301235685077,-0.058258657087061835,0.5866864441360505,0.20971423571617195,1.0,1.0,11,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,platt_logistic_calibration,156113,157318,157318,25128,132190,0.15972743106319684,0.1346948717022549,0.2049108501364545,0.1346948717022549,0.07021597843419958,0.4411173154281706,0.06218117542247117,0.19542551328390928,1.3251523443865674,-0.06531015962446071,0.591095856291216,0.21118186794458155,1.0092256199163099,1.00891898340777,11,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,isotonic_calibration,156113,157318,157318,25128,132190,0.15972743106319684,0.13406323727726735,0.2049108501364545,0.13406323727726735,0.07084761285918713,0.44744157992171585,0.05456215552067467,0.2635510381988333,0.8303440933950336,0.02347601410380571,0.583171871564467,0.2163239070585142,0.9955004671163188,1.0291812803161113,11,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,identity_uncalibrated_reference,156113,157318,157318,9294,148024,0.05907779147967811,0.15724705572750514,0.15724705572750514,0.15724705572750514,0.0,0.4924592306043758,0.29938062937282434,0.5955208735115189,0.20584968288076846,-0.01945277712533423,0.619389472466832,0.1007311549203358,1.0,1.0,5,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,platt_logistic_calibration,156113,157318,157318,9294,148024,0.05907779147967811,0.05670470771956752,0.15724705572750514,0.05670470771956752,0.10054234800793763,0.23522759622033512,0.0439365923268389,0.14997311514641748,1.5822642938539857,-0.025936266951576897,0.6356379782886998,0.10270207049508524,1.0388017097039697,1.0447522520981978,5,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,isotonic_calibration,156113,157318,157318,9294,148024,0.05907779147967811,0.05654714024364865,0.15724705572750514,0.05654714024364865,0.10069991548385648,0.24921101595746048,0.04056299541941413,0.1757940564325479,0.8007852826923042,0.019134867867740317,0.6167647593982778,0.09932869804768288,1.0041859605242862,1.000366603373744,5,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,156113,157318,157318,2684,154634,0.01706098475698903,0.09675192972524527,0.09675192972524527,0.09675192972524527,0.0,0.33745242898042577,0.234658453578957,0.7460924591021801,0.0635473639394002,0.003315582800337731,0.6589733602725578,0.049195377832510746,1.0,1.0,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,platt_logistic_calibration,156113,157318,157318,2684,154634,0.01706098475698903,0.01705393079195761,0.09675192972524527,0.01705393079195761,0.07969799893328766,0.09739847934411729,0.019864345665131924,0.05089056334781651,1.658906970298771,-0.009310760993372021,0.6851272462604597,0.049057311267970215,1.0850773174667068,1.092926487977906,0,mixed_or_non_monotonic,aggregate,,10
