fold_id,asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,calibration_method,cluster_type,metric_name,cluster_count,min_cluster_size,max_cluster_size,clustered_metric_mean,clustered_metric_std,bootstrap_or_cluster_se_rows,confidence_interval_low,confidence_interval_high,uncertainty_status
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,entity_id,brier_loss,124,89,127,0.011829634028953397,0.017736393024460097,0.0015927751130118697,0.008707794807450132,0.014951473250456662,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,trade_date,brier_loss,127,123,124,0.011749779750003247,0.020769458136520428,0.001842991387448687,0.00813751663060382,0.015362042869402674,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,fold_id,brier_loss,1,15710,15710,0.011749520775203488,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,slice_key,brier_loss,1,15710,15710,0.011749520775203488,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,platt_logistic_calibration,entity_id,brier_loss,124,89,127,0.0076652705887620565,0.013666261946443253,0.0012272665522339806,0.005259828146383455,0.010070713031140658,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,platt_logistic_calibration,trade_date,brier_loss,127,123,124,0.007598042148763513,0.022850284464615185,0.0020276348661686185,0.0036238778110730206,0.011572206486454005,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,platt_logistic_calibration,fold_id,brier_loss,1,15710,15710,0.007603700888158656,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,platt_logistic_calibration,slice_key,brier_loss,1,15710,15710,0.007603700888158656,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,isotonic_calibration,entity_id,brier_loss,124,89,127,0.006408164693668462,0.01456604958967233,0.0013080698679450397,0.0038443477524961844,0.00897198163484074,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,isotonic_calibration,trade_date,brier_loss,127,123,124,0.006335617443878129,0.02424878817180473,0.002151732002970339,0.002118222718056264,0.010553012169699994,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,isotonic_calibration,fold_id,brier_loss,1,15710,15710,0.006341289531114985,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,isotonic_calibration,slice_key,brier_loss,1,15710,15710,0.006341289531114985,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,entity_id,brier_loss,124,89,127,0.0035895609602946384,0.014288355116815234,0.0012831321681107074,0.0010746219107976521,0.006104500009791625,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,trade_date,brier_loss,127,123,124,0.0035867470064566667,0.004481861059588657,0.0003977008585524596,0.002807253323693846,0.0043662406892194874,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,fold_id,brier_loss,1,15710,15710,0.0035882452224029306,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,slice_key,brier_loss,1,15710,15710,0.0035882452224029306,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,platt_logistic_calibration,entity_id,brier_loss,124,89,127,0.002143529203038303,0.01054807879256355,0.0009472454386702979,0.0002869281432445192,0.004000130262832087,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,platt_logistic_calibration,trade_date,brier_loss,127,123,124,0.0021449256241044814,0.004806188467972373,0.00042648026225359446,0.0013090243100874364,0.0029808269381215264,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,platt_logistic_calibration,fold_id,brier_loss,1,15710,15710,0.0021472366900746427,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,platt_logistic_calibration,slice_key,brier_loss,1,15710,15710,0.0021472366900746427,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,isotonic_calibration,entity_id,brier_loss,124,89,127,0.001671623154070079,0.010737331309900585,0.0009642408164381207,-0.00021828884614863734,0.0035615351542887955,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,isotonic_calibration,trade_date,brier_loss,127,123,124,0.0016730074588564982,0.004905787992428936,0.00043531829088972254,0.000819783608712642,0.0025262313090003543,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,isotonic_calibration,fold_id,brier_loss,1,15710,15710,0.001675345876873038,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,isotonic_calibration,slice_key,brier_loss,1,15710,15710,0.001675345876873038,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,identity_uncalibrated_reference,entity_id,brier_loss,124,89,127,0.17551707153378662,0.029860568809936195,0.0026815582398999425,0.17026121738358274,0.1807729256839905,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,identity_uncalibrated_reference,trade_date,brier_loss,127,123,124,0.17531998086088602,0.10085603577838183,0.00894952598618516,0.15777890992796312,0.1928610517938089,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,identity_uncalibrated_reference,fold_id,brier_loss,1,15710,15710,0.175323278033995,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,identity_uncalibrated_reference,slice_key,brier_loss,1,15710,15710,0.175323278033995,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,platt_logistic_calibration,entity_id,brier_loss,124,89,127,0.15572230994029138,0.03278101018525491,0.0029438216175327464,0.1499524195699272,0.16149220031065556,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,platt_logistic_calibration,trade_date,brier_loss,127,123,124,0.15539741342571733,0.14898330779442212,0.013220130796572492,0.12948595706443525,0.18130886978699942,pass
