slice_id,entity_id,decision_trade_date,apply_trade_date,realized_open_to_open_return,baseline_score,model_score,baseline_bucket,model_bucket,arm_no_downshift_exposure,arm_baseline_driven_exposure,arm_model_driven_exposure
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:软件开发,2016-07-12,2016-07-13,0.009392818731584152,0.02532055059396928,0.25388838060384267,extreme,low,1.0,0.5,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:通信服务,2016-07-12,2016-07-13,0.017070912663856852,0.024676015915688645,0.25388838060384267,extreme,low,1.0,0.5,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:通信设备,2016-07-12,2016-07-13,0.007351533354786444,0.022456410007112765,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:通用设备,2016-07-12,2016-07-13,0.007511864794869982,0.019636848890848976,0.25388838060384267,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:造纸,2016-07-12,2016-07-13,0.005642501723304383,0.017290855014320778,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:酒店餐饮,2016-07-12,2016-07-13,0.0019847585503853793,0.015695671136724425,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:金属新材料,2016-07-12,2016-07-13,-0.015238375596207332,0.029370727671911658,0.34405940594059403,extreme,high,1.0,0.5,0.75
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:铁路公路,2016-07-12,2016-07-13,0.009176795308204921,0.013155158095692248,0.1686746987951807,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:非白酒,2016-07-12,2016-07-13,-0.0042607633073123985,0.01753959361662509,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:非金属材料Ⅱ,2016-07-12,2016-07-13,0.0074269435669496175,0.016523422552737123,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:风电设备,2016-07-12,2016-07-13,0.0025240848802601246,0.019298148511977187,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:食品加工,2016-07-12,2016-07-13,0.0033615708105732,0.02043951571570953,0.22298221614227087,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:饮料乳品,2016-07-12,2016-07-13,-0.008050189805528962,0.01763847324300494,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:饰品,2016-07-12,2016-07-13,0.015274037183205635,0.018508328366403082,0.23373759647188533,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:饲料,2016-07-12,2016-07-13,-0.0007484192738910211,0.022970092609428363,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:黑色家电,2016-07-12,2016-07-13,0.0098038314802662,0.02044355807269843,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:IT服务Ⅱ,2016-07-13,2016-07-14,0.011924595287839512,0.023853481219274233,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:一般零售,2016-07-13,2016-07-14,0.001358011026327155,0.016064778460622393,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:专业工程,2016-07-13,2016-07-14,0.0035263586339326913,0.01769316629247096,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:专业服务,2016-07-13,2016-07-14,0.008692789388778932,0.022804543782337504,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:专业连锁Ⅱ,2016-07-13,2016-07-14,0.03157747758958762,0.02975850338616655,0.25388838060384267,extreme,low,1.0,0.5,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:专用设备,2016-07-13,2016-07-14,0.005860128117023855,0.019754000335226424,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:个护用品,2016-07-13,2016-07-14,0.014765592148461293,0.022651617218660446,0.22298221614227087,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:中药Ⅱ,2016-07-13,2016-07-14,0.004131855957502095,0.016703978199641464,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:乘用车,2016-07-13,2016-07-14,0.0044637954310744465,0.014178871241723116,0.1686746987951807,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:互联网电商,2016-07-13,2016-07-14,0.02995141805446977,0.022246291726525026,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:休闲食品,2016-07-13,2016-07-14,-0.0037536058058188493,0.022781537886751406,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:保险Ⅱ,2016-07-13,2016-07-14,-0.0005544899622965671,0.009591465591562334,0.04846543324251816,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:元件,2016-07-13,2016-07-14,0.0038840127610475506,0.021917816589644656,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:光伏设备,2016-07-13,2016-07-14,-0.0012813241075863013,0.021812736489418085,0.25388838060384267,high,low,1.0,0.75,1.0
