slice_id,asof_mode,horizon,threshold_type,threshold_value,target_usage,calibration_method,baseline_name,arm,daily_return_count,entity_day_count,mean_exposure,max_drawdown,cvar_95,realized_volatility,total_return,missed_upside_cost,turnover,arm_pair,metric,delta,confidence_interval_low,confidence_interval_high,bootstrap_iterations,ci_status
close_t_minus_1:h5:fixed:0.1000:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.1,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_baseline_driven,1268.0,157194.0,0.9125171746623084,0.2488758880520584,0.03111551390948298,0.012498940875080154,0.5071385719072325,1.04222652169714,0.008766055704832321,,,,,,,
close_t_minus_1:h5:fixed:0.1000:eligible:platt_logistic_calibration,close_t_minus_1,5,fixed,0.1,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_model_driven,1268.0,157194.0,0.9124146385931906,0.29688042316072316,0.032268073391339025,0.01365966451357196,0.9475644444234959,0.6212782871476039,0.004542289898037101,,,,,,,
close_t_minus_1:h10:fixed:0.0500:eligible:isotonic_calibration,close_t_minus_1,10,fixed,0.05,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_no_downshift,1265.0,156822.0,1.0,0.2972699261613555,0.03514266042186705,0.01466857886132111,1.1078528715907634,,0.0,,,,,,,
close_t_minus_1:h10:fixed:0.0500:eligible:isotonic_calibration,close_t_minus_1,10,fixed,0.05,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_baseline_driven,1265.0,156822.0,0.912515251029088,0.24174396749875504,0.030502773025806056,0.012363333601556573,0.5521192369311498,1.0708851310875662,0.011781604902614968,,,,,,,
close_t_minus_1:h10:fixed:0.0500:eligible:isotonic_calibration,close_t_minus_1,10,fixed,0.05,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_model_driven,1265.0,156822.0,0.8961746868679957,0.2855373306919944,0.030793628769909844,0.012933550067289993,0.883617656169662,0.9295344371287493,0.00411168580920701,,,,,,,
close_t_minus_1:h10:fixed:0.0500:eligible:platt_logistic_calibration,close_t_minus_1,10,fixed,0.05,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_no_downshift,1265.0,156822.0,1.0,0.2972699261613555,0.03514266042186705,0.01466857886132111,1.1078528715907634,,0.0,,,,,,,
close_t_minus_1:h10:fixed:0.0500:eligible:platt_logistic_calibration,close_t_minus_1,10,fixed,0.05,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_baseline_driven,1265.0,156822.0,0.912515251029088,0.24174396749875504,0.030502773025806056,0.012363333601556573,0.5521192369311498,1.0708851310875662,0.011781604902614968,,,,,,,
close_t_minus_1:h10:fixed:0.0500:eligible:platt_logistic_calibration,close_t_minus_1,10,fixed,0.05,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_model_driven,1265.0,156822.0,0.912506401026652,0.2863908540324287,0.03155436432847895,0.013205863923960594,0.8876360192539112,0.7876896677515235,0.0053620795114647755,,,,,,,
close_t_minus_1:h10:fixed:0.0800:eligible:isotonic_calibration,close_t_minus_1,10,fixed,0.08,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_no_downshift,1265.0,156822.0,1.0,0.2972699261613555,0.03514266042186705,0.01466857886132111,1.1078528715907634,,0.0,,,,,,,
close_t_minus_1:h10:fixed:0.0800:eligible:isotonic_calibration,close_t_minus_1,10,fixed,0.08,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_baseline_driven,1265.0,156822.0,0.912515251029088,0.24174396749875504,0.030502773025806056,0.012363333601556573,0.5521192369311498,1.0708851310875662,0.011781604902614968,,,,,,,
close_t_minus_1:h10:fixed:0.0800:eligible:isotonic_calibration,close_t_minus_1,10,fixed,0.08,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_model_driven,1265.0,156822.0,0.9030161274773527,0.294241250867162,0.0318493040648405,0.013278198965395388,0.8815449299682823,0.8270925700898242,0.005839903855730064,,,,,,,
close_t_minus_1:h10:fixed:0.0800:eligible:platt_logistic_calibration,close_t_minus_1,10,fixed,0.08,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_no_downshift,1265.0,156822.0,1.0,0.2972699261613555,0.03514266042186705,0.01466857886132111,1.1078528715907634,,0.0,,,,,,,
close_t_minus_1:h10:fixed:0.0800:eligible:platt_logistic_calibration,close_t_minus_1,10,fixed,0.08,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_baseline_driven,1265.0,156822.0,0.912515251029088,0.24174396749875504,0.030502773025806056,0.012363333601556573,0.5521192369311498,1.0708851310875662,0.011781604902614968,,,,,,,
